DAUID,DGUID,LANDAREA,PRUID,X,Y
35200421,2021S051235200421,0.0706,35,635484.3729307930,4846243.296323970
35200422,2021S051235200422,0.2263,35,635834.5647472480,4846370.916348830
35200423,2021S051235200423,0.0534,35,635524.2364829910,4845998.866500680
35200426,2021S051235200426,0.0877,35,635868.3692711560,4845881.017999680
35200427,2021S051235200427,0.1092,35,636074.8869726650,4845815.254768090
35200428,2021S051235200428,0.0843,35,635953.7901909720,4845502.045053390
35200429,2021S051235200429,0.0482,35,636083.5068049360,4845314.190050820
35200430,2021S051235200430,0.1899,35,636231.7238194980,4845092.703230400
35200431,2021S051235200431,0.2126,35,636491.6492961030,4845442.627517260
35200432,2021S051235200432,0.1219,35,636782.3693497120,4845460.505067830
35200433,2021S051235200433,0.0853,35,637044.9666273830,4845481.109282260
35200434,2021S051235200434,0.1386,35,636965.3267679170,4845084.552070680
35200435,2021S051235200435,0.116,35,637348.5386872830,4845170.327308050
35200436,2021S051235200436,0.1097,35,637214.0760658370,4844774.098914990
35200437,2021S051235200437,0.1447,35,637394.9386094740,4844475.341489890
35200438,2021S051235200438,0.1987,35,637035.4245222580,4844517.871594730
35200439,2021S051235200439,0.1019,35,636827.3611525630,4844295.684655920
35200440,2021S051235200440,0.1001,35,636695.7224433970,4844620.409457930
35200442,2021S051235200442,0.0617,35,636327.9569953700,4844617.905236270
35200443,2021S051235200443,0.0768,35,636232.9467674140,4844771.727653390
35200444,2021S051235200444,0.1186,35,636622.5231849830,4844967.541813900
35200445,2021S051235200445,0.2322,35,635800.3354762010,4844772.908147660
35200449,2021S051235200449,0.0828,35,636071.6828228360,4844070.652154540
35200450,2021S051235200450,0.1629,35,635772.7816962980,4844077.500562660
35200451,2021S051235200451,0.0769,35,635696.8138074980,4844288.028296730
35200452,2021S051235200452,1.0788,35,635027.0121844230,4843954.128334150
35200453,2021S051235200453,0.2851,35,635678.0723303550,4843606.433763410
35200454,2021S051235200454,0.2734,35,635579.4737587140,4843155.210226360
35200455,2021S051235200455,0.121,35,635876.7989430770,4843101.347162770
35200456,2021S051235200456,0.0582,35,635643.7188060150,4842918.630765560
35200459,2021S051235200459,0.1049,35,636287.1389901200,4843413.106804790
35200460,2021S051235200460,0.0347,35,636558.3058869360,4843359.900325560
35200463,2021S051235200463,0.0585,35,636266.0012755090,4843645.919974630
35200464,2021S051235200464,0.1059,35,636132.1847587300,4843837.537720780
35200465,2021S051235200465,0.1342,35,636556.6976578500,4843945.828356800
35200466,2021S051235200466,0.1221,35,636736.0106653740,4843539.207048470
35200467,2021S051235200467,0.1491,35,636938.5463452200,4843957.871423270
35200468,2021S051235200468,0.8469,35,637374.6204578520,4843442.515572120
35200469,2021S051235200469,0.1265,35,636784.7243964860,4843175.293229590
35200470,2021S051235200470,0.1261,35,636897.5136825940,4842906.641456380
35200471,2021S051235200471,0.0472,35,636562.6409988540,4842788.084447470
35200472,2021S051235200472,0.1032,35,636510.9174998980,4842593.422523930
35200475,2021S051235200475,0.2325,35,636994.4597371240,4842480.936422250
35200478,2021S051235200478,0.1045,35,636747.7332232470,4841586.216389650
35200479,2021S051235200479,0.1068,35,636669.1040281370,4841302.318640030
35200480,2021S051235200480,0.0921,35,637021.7492055970,4841412.881324860
35200481,2021S051235200481,0.0751,35,636908.3504157010,4841143.132551010
