DAUID,Population,Population 15 to 64,Pop_65plus,Pop15plus
35200865,556,385,100,485
35200866,798,675,50,725
35200867,752,360,320,680
35200868,682,565,55,620
35200869,570,400,100,500
35200870,2262,2005,140,2145
35200876,413,300,50,350
35200877,366,265,50,315
35200878,649,590,40,630
35200879,420,325,55,380
35200880,505,365,90,455
35200881,371,275,60,335
35200882,336,255,45,300
35200883,363,265,55,320
35200884,483,350,70,420
35200885,510,370,85,455
35200886,705,530,110,640
35200887,581,475,55,530
35200888,706,585,70,655
35200889,511,410,65,475
35200890,481,390,55,445
35200891,441,350,60,410
35200892,548,440,60,500
35200893,271,210,50,260
35200894,805,515,255,770
35200895,450,400,40,440
35200896,531,455,60,515
35200897,611,520,70,590
35200898,564,345,180,525
35200899,372,300,40,340
35200900,432,250,125,375
35200901,906,680,150,830
35200902,642,580,40,620
35200903,294,195,80,275
35200905,723,570,110,680
35200906,1166,615,500,1115
35200907,441,310,85,395
35200908,498,360,100,460
35200909,547,410,90,500
35200910,561,465,65,530
35200911,351,275,45,320
35200912,375,275,50,325
35200913,586,460,85,545
35200914,529,410,65,475
35200915,738,440,250,690
35200916,533,410,90,500
35200917,300,220,50,270
35200918,230,165,35,200
35200919,359,295,45,340
35200920,642,465,85,550
35200921,479,340,80,420
35200922,476,375,60,435
35200923,313,255,35,290
35200924,328,260,45,305
35200925,342,270,30,300
35200926,347,265,45,310
35200927,434,330,50,380
35200928,317,245,45,290
35200929,355,260,60,320
35200930,411,300,60,360
35200931,465,365,70,435
35200932,258,205,35,240
35200933,349,265,55,320
35200934,533,385,80,465
35200935,351,235,75,310
35200936,296,215,50,265
35200937,391,260,65,325
35200938,297,215,50,265
35200939,340,235,55,290
35200940,281,215,40,255
35200941,331,250,50,300
35200942,564,380,125,505
35200943,242,180,35,215
35200944,452,310,90,400
35200945,463,340,65,405
35200946,421,310,55,365
35200949,488,370,80,450
35200950,445,345,55,400
35200951,588,430,100,530
35200952,1556,1235,155,1390
35200953,288,210,25,235
35200954,338,260,45,305
35200955,1278,830,305,1135
35200956,415,285,70,355
35200957,1254,935,80,1015
35200958,748,545,65,610
35200959,725,510,90,600
35200960,393,300,35,335
35200961,426,315,50,365
35200962,464,340,65,405
35200963,373,270,50,320
35200965,345,250,60,310
35200966,339,245,55,300
35200967,684,540,75,615
35200968,1666,1390,135,1525
35200969,412,295,55,350
35200974,735,515,115,630
35200975,372,255,80,335
35200976,902,675,125,800
35200977,539,165,345,510
35200979,520,300,110,410
35200981,450,320,80,400
35200983,317,230,60,290
35200985,399,290,60,350
35200986,467,350,55,405
35200987,536,385,80,465
35200988,583,435,75,510
35200989,607,440,80,520
35200990,539,385,90,475
35200991,418,300,55,355
35200992,357,250,65,315
35200993,256,190,45,235
35200994,412,325,55,380
35200995,301,210,45,255
35200996,278,195,50,245
35200997,676,510,75,585
35200998,368,260,75,335
35200999,566,405,95,500
35201000,664,485,100,585
35201001,542,385,85,470
35201002,567,415,75,490
35201003,501,385,65,450
35201004,345,235,50,285
35201005,535,390,90,480
35201006,561,325,190,515
35201007,366,285,55,340
35201008,405,280,75,355
35201009,397,285,75,360
35201010,643,480,90,570
35201011,318,210,70,280
35201012,363,280,60,340
35201013,330,235,60,295
35201014,559,375,105,480
35201015,663,505,105,610
35201016,526,430,60,490
35201017,380,320,45,365
35201018,400,305,65,370
35201019,411,315,60,375
35201020,470,355,75,430
35201023,677,510,100,610
35201024,592,400,115,515
35201025,540,415,80,495
35201026,478,395,55,450
35201027,617,470,90,560
35201028,468,360,75,435
35201029,894,730,105,835
35201030,500,375,80,455
35201031,743,575,105,680
35201032,413,345,45,390
35201033,568,380,160,540
35201034,175,130,40,170
35201035,644,365,250,615
35201036,585,450,110,560
35201038,643,425,200,625
35201039,1535,930,525,1455
35201040,497,330,125,455
35201041,983,465,470,935
35201044,533,395,95,490
35201045,392,325,45,370
35201046,475,390,60,450
35201047,554,455,50,505
35201048,531,405,75,480
35201049,673,505,90,595
35201050,281,200,40,240
35201051,614,515,60,575
35201052,505,360,120,480
35201053,432,355,40,395
35201054,585,475,65,540
35201055,723,505,190,695
35201056,488,410,50,460
35201057,648,480,110,590
35201058,485,415,60,475
35201059,501,370,85,455
35201060,408,300,60,360
35201061,511,405,60,465
35201062,327,225,50,275
35201063,783,580,100,680
35201064,638,475,75,550
35201065,579,385,100,485
35201066,515,350,90,440
35201067,442,305,70,375
35201068,733,525,135,660
35201069,416,300,55,355
35201070,352,265,50,315
35201071,467,260,160,420
35201072,584,430,90,520
35201073,633,445,105,550
35201076,579,375,115,490
35201077,439,270,90,360
35201078,894,585,155,740
35201079,518,330,100,430
35201080,818,655,90,745
35201081,349,225,80,305
35201104,424,210,170,380
35201105,411,295,55,350
35201106,493,355,65,420
35201107,785,610,105,715
35201109,570,390,115,505
35201110,774,495,170,665
